,City Country,Counts,Longitude_y,Latitude_y
0,"Douro, Portugal",1134,-7.304749811735755,41.17004195
1134,"Oregon, United States",5359,-120.737257,43.9792797
6493,"Michigan, United States",111,-84.6824346,43.6211955
6604,"Northern Spain, Spain",3797,-97.78594,45.70301
10401,"Sicily & Sardinia, Italy",1559,-78.665363,42.51002
11960,"Alsace, France",2147,2.1756077752742797,48.684872850000005
14107,"Rheinhessen, Germany",278,8.2711082,49.9045181
14385,"California, United States",36104,-118.755997,36.7014631
50489,"Mosel, Germany",1023,7.0233521,49.9486024
51512,"Other, Argentina",530,-58.398595,-34.761729
52042,"Mendoza Province, Argentina",3226,-68.8446177,-32.8894155
55268,"Virginia, United States",770,-78.4927721,37.1232245
56038,"Colchagua Valley, Chile",821,-71.39939504257677,-34.549580000000006
56859,"Southern Italy, Italy",1131,-121.902496,37.3299203
57990,"Beaujolais, France",846,-60.8605,14.5244
58836,"Maule Valley, Chile",466,-71.8469373779528,-35.34735105
59302,"Bordeaux, France",4002,-0.5800364,44.841225
63304,"Maipo Valley, Chile",647,-70.593779,-33.617927
63951,"Washington, United States",8583,-77.0365427,38.8950368
72534,"Central Italy, Italy",1100,-76.5993388,39.2873546
73634,"Champagne, France",1383,-0.906667,45.831944
75017,"Burgundy, France",3106,5.043466,47.324179
78123,"South Australia, Australia",1331,135.6301212,-30.5343665
79454,"Rapel Valley, Chile",162,-70.725899,-33.369905
79616,"Galicia, Spain",409,-7.863112,42.61946
80025,"France Other, France",589,4.097094,48.320323
80614,"Tuscany, Italy",5128,11.1389204,43.4586541
85742,"Burgenland, Austria",567,16.4166666,47.5000001
86309,"New York, United States",2676,-84.8105,38.42785
88985,"Leyda Valley, Chile",225,-71.515503,-33.74718
89210,"Piedmont, Italy",3089,8.378351,46.067065
92299,"Stellenbosch, South Africa",391,18.869167,-33.934444
92690,"Simonsberg-Stellenbosch, South Africa",37,18.881351,-33.929498
92727,"Alentejano, Portugal",821,-7.587096,38.84217
93548,"Central Spain, Spain",483,-61.51253869199539,10.6486556
94031,"Southwest France, France",1335,2.464483,46.714842
95366,"Aconcagua Valley, Chile",114,-70.607736,-33.531171
95480,"Loncomilla Valley, Chile",20,-71.580986,-35.838642
95500,"Marlborough, New Zealand",785,174.723989,-36.7846223
96285,"Northeastern Italy, Italy",1986,-77.305016,42.622631
98271,"Casablanca Valley, Chile",596,-71.398355,-33.327078
98867,"Veneto, Italy",2315,11.8665254,45.6476663
101182,"Western Cape, South Africa",275,20.72753,-33.546977
101457,"Judean Hills, Israel",113,-98.164727,26.171651
101570,"Alentejo, Portugal",166,-8.027353044950193,38.49104545
101736,"Coastal Region, South Africa",130,-82.577146,28.902609
101866,"Rhône Valley, France",1042,2.571238,48.598166
102908,"Galilee, Israel",260,35.19146,32.73568
103168,"Beira Atlantico, Portugal",14,-27.219365,38.653991
103182,"Tokaj, Hungary",46,21.4113895,48.1235534
103228,"Leithaberg, Austria",34,16.5810037,47.88822
103262,"Santorini, Greece",48,25.476708914676557,36.399662250000006
103310,"Kremstal, Austria",292,14.0780469,47.9263917
103602,"Catalonia, Spain",1153,1.5745043,41.8523094
